DEALDATE,DEALDATETIME,FULLADRESS,DISPLAYADRESS,GUSH,DEALNATUREDESCRIPTION,ASSETROOMNUM,FLOORNO,DEALNATURE,DEALAMOUNT,NEWPROJECTTEXT,PROJECTNAME,BUILDINGYEAR,YEARBUILT,BUILDINGFLOORS,KEYVALUE,TYPE,POLYGON_ID,TREND_IS_NEGATIVE,TREND_FORMAT
18/02/2024,18/02/2024 00:00,"אברהם אבינו 39, באר שבע",אברהם אבינו 39,38079-8-16,דירה בבית קומות,3,שניה,42,285000,,,1960,,3,11163573900,1,38079-8,FALSE,
18/02/2024,18/02/2024 00:00,"רחל אימנו 2, באר שבע",רחל אימנו 2,38377-20-4,דירה בבית קומות,3,ראשונה,68,1150000,,,1990,,3,11163638610,1,38377-20,FALSE,43% ב 3 שנים
18/02/2024,18/02/2024 00:00,"גדעון האוזנר 53, באר שבע",גדעון האוזנר 53,38365-18-11,דירה בבית קומות,4,קומה ‎3‏,97.98,1540000,,,2015,,10,11163613320,1,38365-18,FALSE,
18/02/2024,18/02/2024 00:00,,,38491-22-4,דירה בבית קומות,4,רביעית,111,1610000,,,2024,,,11164362390,2,38491-22,FALSE,
15/02/2024,15/02/2024 00:00,,,38024-39-4,דירה בבית קומות,3,שניה,42,900000,,,,,,11163758850,2,38024-39,FALSE,125% ב 14.6 שנים
15/02/2024,15/02/2024 00:00,"התקווה 1, באר שבע",התקווה 1,38015-49-15,דירה בבית קומות,4,עשרים,113,1550000,,,2011,,10,11163628800,1,38015-49,FALSE,
15/02/2024,15/02/2024 00:00,"הכ""ג 18, באר שבע","הכ""ג 18",38030-98-1,דירה בבית קומות,3,שניה,50,145000,,,1950,,1,11163440970,1,38030-98,FALSE,
15/02/2024,15/02/2024 00:00,,,38009-53-1,דירה בבית קומות,5,שמינית,128,1796000,,,,,,11163755160,2,38009-53,FALSE,
15/02/2024,15/02/2024 00:00,"העלייה 64, באר שבע",העלייה 64,38069-3-2,דירה בבית קומות,3,קרקע וראשונה,70,600000,,,1970,,,11163538260,1,38069-3,FALSE,
15/02/2024,15/02/2024 00:00,"יוסף בן-מתתיהו 1, באר שבע",יוסף בן-מתתיהו 1,38093-8-20,דירה בבית קומות,3,שניה,50.6,835000,,,1960,,4,11163412800,1,38093-8,FALSE,36% ב 10.3 שנים
