price,square_meters,rooms,floor,is_promoted,condition,latitude,longitude,date,price_per_sqm,safe_room,elevator,parking,bars,air_conditioning,air_conditioner,accessible,furniture
599000,9870,0,0,1,0,31.2409898,34.8102776,0,60.68895643363729,0,0,0,0,0,0,0,0
1890000,1770,4,5,1,2,31.2552493114754,34.8029846721311,0,1067.7966101694915,1,1,1,0,1,1,1,1
1030000,900,3,1,1,4,31.236598,34.7666829,0,1144.4444444444443,1,1,1,0,1,1,0,0
990000,760,3,1,3,3,31.246539,34.774268,0,1302.6315789473683,0,1,0,1,1,1,1,1
1350000,940,3,4,3,1,31.229673,34.825456,0,1436.1702127659576,1,0,1,0,1,1,0,0
860000,500,3,1,3,3,31.262885,34.79268,0,1720.0,0,0,0,0,1,1,0,1
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
2350000,2450,6,7,3,1,31.229209,34.82268,0,959.1836734693877,1,1,1,0,1,1,1,0
1790000,1440,5,2,3,2,31.281642,34.806041,0,1243.0555555555557,1,1,1,1,1,1,1,0
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
0,1270,4,3,3,2,31.28298,34.798363,0,0.0,1,1,1,0,1,1,0,1
780000,770,4,4,3,3,31.257459,34.774263,0,1012.987012987013,0,0,0,1,1,1,0,1
3520000,10000,0,1,3,5,31.231766,34.79053,0,352.0,0,0,0,0,1,1,1,0
1740000,1130,4,0,3,3,31.247623,34.787739,0,1539.8230088495575,0,0,0,1,1,1,0,0
2100000,1700,4,2,3,2,31.251659,34.794984,0,1235.2941176470588,1,1,0,0,1,1,1,0
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
1300000,1090,4,1,3,3,31.265815,34.762606,0,1192.6605504587155,1,1,1,0,1,1,0,0
995000,960,6,3,3,3,31.270365,34.790986,0,1036.4583333333333,0,0,1,1,1,1,0,1
1449000,1200,5,3,3,4,31.253217,34.795765,0,1207.5,0,1,1,1,1,1,0,1
1990000,2800,0,2,3,2,31.277261,34.818393,0,710.7142857142857,1,0,1,1,1,1,1,1
1250000,800,4,0,3,3,31.244991,34.8007,0,1562.5,0,0,1,1,1,1,1,1
1870000,5000,0,0,3,2,31.27329,34.760148,0,374.0,0,0,0,0,0,0,0,0
1300000,700,4,1,3,3,31.251973,34.791887,0,1857.142857142857,0,0,1,0,1,1,0,1
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
6750000,8000,0,0,3,0,31.241614,34.789205,0,843.75,0,0,0,0,0,0,0,0
1270000,1150,4,9,3,4,0.0,0.0,0,1104.3478260869565,1,1,1,0,1,1,0,0
1450000,900,3,8,3,3,31.253419,34.796518,0,1611.111111111111,1,1,1,1,1,1,1,1
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
1280000,980,3,2,3,3,31.2409898,34.8102776,0,1306.1224489795918,1,1,1,0,1,1,0,0
750000,900,4,1,3,3,31.26686155,34.79381465,0,833.3333333333334,0,0,0,1,1,1,0,1
1590000,1100,4,0,3,3,31.2817223888889,34.7980748611111,0,1445.4545454545455,1,1,1,1,1,1,1,0
860000,1000,4,2,3,4,31.2565997142857,34.7613934285714,0,860.0,0,1,1,0,0,0,1,0
430000,360,0,7,3,3,31.2509890689655,34.8029202413793,0,1194.4444444444443,1,1,1,0,1,1,1,0
760000,780,4,4,3,3,31.2642388636364,34.7814689090909,0,974.3589743589744,0,0,0,1,1,1,0,1
2495000,2030,5,27,3,2,31.249978,34.7745,0,1229.064039408867,1,1,1,0,1,1,1,0
785000,750,3,2,3,4,31.245302,34.772003,0,1046.6666666666667,0,0,1,0,1,1,0,1
1550000,1700,4,0,3,3,31.2772532777778,34.7982868888889,0,911.7647058823529,1,1,1,0,1,1,1,0
1390000,1220,4,2,3,4,31.2872804137931,34.8060372068966,0,1139.344262295082,1,1,1,0,1,1,0,0
1150000,1000,4,0,3,3,31.2535760655738,34.8074174754098,0,1150.0,0,0,0,0,1,1,1,1
1095000,600,3,2,3,3,0.0,0.0,0,1825.0,0,0,0,0,1,1,0,1
2850000,1680,6,0,3,2,0.0,0.0,0,1696.4285714285713,1,0,1,1,1,1,1,1
1540000,1450,4,0,3,3,31.2409898,34.8102776,0,1062.0689655172414,0,0,1,0,0,0,0,0
970000,960,4,2,3,3,31.2398527,34.77714,0,1010.4166666666666,1,1,0,0,1,1,1,0
675000,550,3,1,3,4,31.2409898,34.8102776,0,1227.2727272727273,0,0,1,0,1,1,0,1
1070000,760,2,6,3,4,31.25939,34.794808,0,1407.8947368421052,1,1,1,0,1,1,1,1
10000,4800,5,0,3,3,31.2604274821429,34.7612569285714,0,2.0833333333333335,1,0,1,1,1,1,1,0
1030000,2800,0,0,3,4,31.2500665769231,34.7952357307692,0,367.85714285714283,0,0,0,0,0,0,1,0
865000,850,4,3,3,3,31.254983,34.793087,0,1017.6470588235294,0,0,0,1,1,1,0,1
1280000,980,3,2,3,3,31.2409898,34.8102776,0,1306.1224489795918,1,1,1,0,1,1,0,0
1950000,1400,4,0,1,2,31.2409898,34.8102776,0,1392.857142857143,1,1,1,1,1,1,1,0
1170000,1200,4,1,1,3,31.2539153684211,34.7955269473684,0,975.0,0,1,1,0,0,0,1,0
2600000,5000,8,0,1,4,31.2606593977273,34.7855464431818,0,520.0,1,0,1,0,1,1,0,0
1520000,1000,4,5,3,3,31.253217,34.795765,0,1520.0,0,1,1,1,1,1,1,0
1650000,1940,4,0,3,3,31.283478,34.803557,0,850.5154639175257,1,1,1,1,1,1,1,1
2600000,2600,45,4,3,2,31.282944,34.80008,0,1000.0,1,1,1,1,1,1,1,1
2050000,1850,5,17,3,3,31.251722,34.7952,0,1108.1081081081081,1,1,1,0,1,1,0,0
1920000,1360,5,5,3,2,0.0,0.0,0,1411.764705882353,1,1,1,1,1,1,0,0
2330000,1270,5,0,3,2,0.0,0.0,0,1834.6456692913387,1,1,1,1,1,1,1,0
1100000,800,4,1,3,3,31.252001,34.790688,0,1375.0,0,0,1,1,1,1,0,1
1450000,1210,4,3,3,3,31.285978,34.804329,0,1198.3471074380166,1,1,1,0,1,1,0,0
2650000,3390,5,0,3,3,0.0,0.0,0,781.7109144542773,1,0,1,1,1,1,1,0
2290000,1800,5,4,3,2,31.283477,34.79985,0,1272.2222222222222,1,1,1,0,1,1,1,0
0,0,0,0,0,0,0.0,0.0,0,,0,0,0,0,0,0,0,0
1550005,1460,5,3,3,4,31.234796,34.785684,0,1061.6472602739725,1,1,1,0,1,1,1,0
1250000,1200,4,6,3,3,31.249546,34.791017,0,1041.6666666666667,0,1,1,0,1,1,1,1
1290000,1500,5,14,3,3,0.0,0.0,0,860.0,1,1,1,1,1,1,1,0
2100000,1560,4,14,3,2,31.255285,34.783185,0,1346.1538461538462,1,1,1,0,1,1,1,0
1320000,1270,4,2,3,4,0.0,0.0,0,1039.3700787401574,1,0,0,1,1,1,0,0
2160000,1970,65,0,3,3,31.27782,34.802813,0,1096.4467005076142,1,1,1,1,1,1,1,1
3500000,2600,9,0,3,4,31.243462,34.764574,0,1346.1538461538462,1,0,1,1,1,1,0,1
810000,920,4,4,2,3,31.264495,34.780717,0,880.4347826086956,0,0,0,0,1,1,0,1
695000,850,3,3,2,3,31.257127,34.778651,0,817.6470588235294,0,0,0,1,1,1,0,1
450000,360,0,7,2,3,31.249488,34.80197,0,1250.0,1,1,1,0,1,1,1,1
969000,1000,3,0,3,3,31.2656986666667,34.7845362222222,0,969.0,0,1,1,0,1,1,1,0
1140000,1150,5,9,3,3,0.0,0.0,0,991.304347826087,0,1,0,0,1,1,1,0
